Current_Residence,Population,Population_Born_Out_of_State,Percent_Born_Out_of_State,Population_Born_In_State,Percent_Born_In_State,Population_Foreign_Born,Percent_Foreign_Born,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico,Foreign_Country
Alabama,4903185,1508327,0.31,3394858,0.69,208156,0.04,3394858,5283,10561,19076,58473,11024,8378,2147,4747,123495,184550,5813,1502,55038,34491,6601,11780,32400,40031,4856,13511,12593,44109,9114,96915,17735,1274,5158,1857,2750,18866,6937,50534,35784,1276,48436,11052,6240,27051,2733,20802,1611,90987,70676,6247,1962,33029,10105,8553,11845,2018,7555,208156
Alaska,731545,417780,0.57,313765,0.43,71067,0.1,3200,313765,6799,3343,39658,10550,2273,410,1450,9608,4446,4507,8231,8480,5123,4142,4976,4056,3193,2938,3904,6414,12901,11572,2882,6251,6221,2467,2703,1277,4595,4217,13548,6749,1925,8387,5904,14532,10966,910,3482,3520,3748,20001,6044,800,6073,29863,1313,7608,3089,3258,71067
Arizona,7278717,4377500,0.6,2901217,0.4,1061793,0.15,16908,12533,2901217,21821,704449,86134,28979,4978,8950,42891,24811,20351,27748,254162,85206,83620,45868,21617,23746,13764,25924,51723,145257,93120,10993,60221,24628,45144,31068,10180,61840,91002,193024,23993,26024,133054,38898,50630,115022,7883,10750,25268,19546,155864,75912,5660,32895,92912,12860,86141,14904,8792,1061793
Arkansas,3017804,1191156,0.39,1826648,0.61,172826,0.06,14658,2888,15147,1826648,117613,12820,5477,1579,1302,19617,13754,2764,1075,61434,20687,18052,30896,9704,54486,3178,4721,4789,33627,9361,36415,80727,2446,11158,3119,655,7670,7642,18099,10426,2080,17948,61140,7481,13789,2398,5474,2335,58648,159177,3105,350,8753,13148,3967,15138,2048,2588,172826
California,39512223,17340148,0.44,22172075,0.56,11039552,0.28,63511,33723,209402,86467,22172075,163350,89395,16856,47136,161137,88489,121438,50849,427864,124283,97536,80339,47684,126645,38572,84852,190572,262512,138410,59869,144764,37690,67320,94106,19307,200430,81955,605720,89675,33412,262878,109779,160012,266341,27159,35938,30909,61474,452793,93226,11608,119142,235702,22477,116739,21468,42904,11039552
Colorado,5758736,3327246,0.58,2431490,0.42,632742,0.11,19842,10870,66017,21366,361517,2431490,26168,5306,14174,68126,31900,17721,16599,164280,61346,72276,89060,18033,31324,8145,32432,40843,92407,70962,15373,75499,23689,77589,17621,8056,57876,71691,142134,31391,24873,88951,52519,26542,90083,6359,12798,28681,22263,204965,48516,4845,41751,46160,9984,62319,44835,13210,632742
Connecticut,3565287,1648279,0.46,1917008,0.54,561251,0.16,5992,2501,5327,1963,34706,6010,1917008,3429,5386,25941,12110,1949,847,24691,6845,3310,4358,2951,4002,23777,11445,134517,11808,6894,1701,8233,883,2185,2678,10848,60937,1399,338347,19709,1006,19950,3244,2445,48049,34294,10057,1011,4314,19278,1412,12789,19885,4699,4052,4965,609,106392,561251
Delaware,973764,545396,0.56,428368,0.44,105132,0.11,2807,1033,1595,369,8944,1676,5621,428368,9307,7121,4086,612,241,6150,2792,1321,1191,2564,2268,1953,63000,7375,5834,1783,1002,1544,66,577,321,842,52438,607,47250,7888,431,6773,995,676,129719,1836,4685,441,2611,5388,909,620,13426,1348,4842,1677,352,10771,105132
District_of_Columbia,705749,443155,0.63,262594,0.37,97653,0.14,2843,524,1690,1280,23722,2214,8532,1167,262594,9194,9127,1155,1004,12660,3410,2540,1665,2095,3626,975,40800,15192,10497,2820,1962,4363,734,1065,533,1439,15724,1144,36081,19282,701,11198,2883,1142,20791,1687,9054,499,3124,11563,904,637,27304,4074,2172,3450,956,2234,97653
Florida,21477737,13789114,0.64,7688623,0.36,4795179,0.22,195242,14721,39031,44871,296344,56415,205510,33104,66701,7688623,371896,24628,10392,459587,254971,68399,50910,135931,84888,66590,161419,354924,412028,80643,62118,122491,9524,30067,12872,45299,528633,24099,1609985,179829,15410,542969,52217,19095,586472,77172,105887,12707,142291,213720,14990,29230,203237,54764,94770,136158,8226,539177,4795179
